Disease,Description,Symptoms,Diet,Medication,workout,Precautions
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"[('extra_marital_contacts', 5), ('muscle_wasting', 3), ('patches_in_throat', 6), ('high_fever', 7)]","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",Follow a balanced and nutritious diet,"['wear ppe if possible', 'follow up', 'avoid open cuts', 'consult doctor']"
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"[('extra_marital_contacts', 5), ('muscle_wasting', 3), ('patches_in_throat', 6), ('high_fever', 7)]","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",Include lean proteins,"['wear ppe if possible', 'follow up', 'avoid open cuts', 'consult doctor']"
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"[('extra_marital_contacts', 5), ('muscle_wasting', 3), ('patches_in_throat', 6), ('high_fever', 7)]","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",Consume nutrient-rich foods,"['wear ppe if possible', 'follow up', 'avoid open cuts', 'consult doctor']"
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"[('extra_marital_contacts', 5), ('muscle_wasting', 3), ('patches_in_throat', 6), ('high_fever', 7)]","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",Stay hydrated,"['wear ppe if possible', 'follow up', 'avoid open cuts', 'consult doctor']"
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"[('extra_marital_contacts', 5), ('muscle_wasting', 3), ('patches_in_throat', 6), ('high_fever', 7)]","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",Include healthy fats,"['wear ppe if possible', 'follow up', 'avoid open cuts', 'consult doctor']"
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"[('extra_marital_contacts', 5), ('muscle_wasting', 3), ('patches_in_throat', 6), ('high_fever', 7)]","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",Avoid raw or undercooked foods,"['wear ppe if possible', 'follow up', 'avoid open cuts', 'consult doctor']"
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"[('extra_marital_contacts', 5), ('muscle_wasting', 3), ('patches_in_throat', 6), ('high_fever', 7)]","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",Limit sugary foods and beverages,"['wear ppe if possible', 'follow up', 'avoid open cuts', 'consult doctor']"
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"[('extra_marital_contacts', 5), ('muscle_wasting', 3), ('patches_in_throat', 6), ('high_fever', 7)]","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",Consume immune-boosting foods,"['wear ppe if possible', 'follow up', 'avoid open cuts', 'consult doctor']"
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"[('extra_marital_contacts', 5), ('muscle_wasting', 3), ('patches_in_throat', 6), ('high_fever', 7)]","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",Take prescribed supplements,"['wear ppe if possible', 'follow up', 'avoid open cuts', 'consult doctor']"
AIDS,AIDS (Acquired Immunodeficiency Syndrome) is a disease caused by HIV that weakens the immune system.,"[('extra_marital_contacts', 5), ('muscle_wasting', 3), ('patches_in_throat', 6), ('high_fever', 7)]","['Balanced Diet', 'Protein-rich foods', 'Fruits and vegetables', 'Whole grains', 'Healthy fats']","['Antiretroviral drugs', 'Protease inhibitors', 'Integrase inhibitors', 'Entry inhibitors', 'Fusion inhibitors']",Consult a healthcare professional,"['wear ppe if possible', 'follow up', 'avoid open cuts', 'consult doctor']"
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('lethargy', 2), ('irregular_sugar_level', 5)]","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Monitor carbohydrate intake,[]
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('lethargy', 2), ('irregular_sugar_level', 5)]","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Eat balanced meals,[]
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('lethargy', 2), ('irregular_sugar_level', 5)]","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Include lean proteins,[]
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('lethargy', 2), ('irregular_sugar_level', 5)]","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Consume high-fiber foods,[]
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('lethargy', 2), ('irregular_sugar_level', 5)]","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Stay hydrated,[]
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('lethargy', 2), ('irregular_sugar_level', 5)]","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Limit sugary foods and beverages,[]
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('lethargy', 2), ('irregular_sugar_level', 5)]","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Include healthy fats,[]
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('lethargy', 2), ('irregular_sugar_level', 5)]","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Monitor blood sugar levels,[]
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('lethargy', 2), ('irregular_sugar_level', 5)]","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Consult a registered dietitian,[]
Diabetes,Diabetes is a chronic condition that affects how the body processes blood sugar.,"[('weight_loss', 3), ('restlessness', 5), ('fatigue', 4), ('lethargy', 2), ('irregular_sugar_level', 5)]","['Low-Glycemic Diet', 'Fiber-rich foods', 'Lean proteins', 'Healthy fats', 'Low-fat dairy']","['Insulin', 'Metformin', 'Sulfonylureas', 'DPP-4 inhibitors', 'GLP-1 receptor agonists']",Take prescribed medications as directed,[]
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","[('vomiting', 5), ('sunken_eyes', 3), ('diarrhoea', 6), ('dehydration', 4)]","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",Stay hydrated,"['stop eating solid food for while', 'ease back into eating', 'try taking small sips of water', 'rest']"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","[('vomiting', 5), ('sunken_eyes', 3), ('diarrhoea', 6), ('dehydration', 4)]","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",Consume clear fluids,"['stop eating solid food for while', 'ease back into eating', 'try taking small sips of water', 'rest']"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","[('vomiting', 5), ('sunken_eyes', 3), ('diarrhoea', 6), ('dehydration', 4)]","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']","Follow the BRAT diet (bananas, rice, applesauce, toast)","['stop eating solid food for while', 'ease back into eating', 'try taking small sips of water', 'rest']"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","[('vomiting', 5), ('sunken_eyes', 3), ('diarrhoea', 6), ('dehydration', 4)]","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",Include bland foods,"['stop eating solid food for while', 'ease back into eating', 'try taking small sips of water', 'rest']"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","[('vomiting', 5), ('sunken_eyes', 3), ('diarrhoea', 6), ('dehydration', 4)]","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",Avoid fatty and greasy foods,"['stop eating solid food for while', 'ease back into eating', 'try taking small sips of water', 'rest']"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","[('vomiting', 5), ('sunken_eyes', 3), ('diarrhoea', 6), ('dehydration', 4)]","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",Limit caffeine and alcohol,"['stop eating solid food for while', 'ease back into eating', 'try taking small sips of water', 'rest']"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","[('vomiting', 5), ('sunken_eyes', 3), ('diarrhoea', 6), ('dehydration', 4)]","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",Avoid spicy foods,"['stop eating solid food for while', 'ease back into eating', 'try taking small sips of water', 'rest']"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","[('vomiting', 5), ('sunken_eyes', 3), ('diarrhoea', 6), ('dehydration', 4)]","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",Consult a healthcare professional,"['stop eating solid food for while', 'ease back into eating', 'try taking small sips of water', 'rest']"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","[('vomiting', 5), ('sunken_eyes', 3), ('diarrhoea', 6), ('dehydration', 4)]","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",Gradually reintroduce solid foods,"['stop eating solid food for while', 'ease back into eating', 'try taking small sips of water', 'rest']"
Gastroenteritis,"Gastroenteritis is an inflammation of the stomach and intestines, typically caused by a virus or bacteria.","[('vomiting', 5), ('sunken_eyes', 3), ('diarrhoea', 6), ('dehydration', 4)]","['Bland Diet', 'Bananas', 'Rice', 'Applesauce', 'Toast']","['Antibiotics', 'Antiemetic drugs', 'Antidiarrheal drugs', 'IV fluids', 'Probiotics']",Avoid dairy products,"['stop eating solid food for while', 'ease back into eating', 'try taking small sips of water', 'rest']"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"[('high_fever', 7), ('fatigue', 4), ('cough', 4), ('breathlessness', 4), ('family_history', 5)]","['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Include anti-inflammatory foods,"['switch to loose cloothing', 'seek help', 'take deep breaths', 'get away from trigger']"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"[('high_fever', 7), ('fatigue', 4), ('cough', 4), ('breathlessness', 4), ('family_history', 5)]","['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Consume omega-3 fatty acids,"['switch to loose cloothing', 'seek help', 'take deep breaths', 'get away from trigger']"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"[('high_fever', 7), ('fatigue', 4), ('cough', 4), ('breathlessness', 4), ('family_history', 5)]","['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Limit sodium intake,"['switch to loose cloothing', 'seek help', 'take deep breaths', 'get away from trigger']"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"[('high_fever', 7), ('fatigue', 4), ('cough', 4), ('breathlessness', 4), ('family_history', 5)]","['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Stay hydrated,"['switch to loose cloothing', 'seek help', 'take deep breaths', 'get away from trigger']"
Bronchial Asthma,Bronchial Asthma is a respiratory condition characterized by inflammation of the airways.,"[('high_fever', 7), ('fatigue', 4), ('cough', 4), ('breathlessness', 4), ('family_history', 5)]","['Anti-Inflammatory Diet', 'Omega-3-rich foods', 'Fruits and vegetables', 'Whole grains', 'Lean proteins']","['Bronchodilators', 'Inhaled corticosteroids', 'Leukotriene modifiers', 'Mast cell stabilizers', 'Anticholinergics']",Include antioxidant-rich foods,"['switch to loose cloothing', 'seek help', 'take deep breaths', 'get away from trigger']"
